team1,score1,score2,team2,players,date
Anla'Shok,94,20,Grunthal Gang,15,2022/05/05
H3LL FLAY3RS,116,41,Polish Pirates,10,2022/05/05
Legion,58,50,Spacecrevards,5,2022/05/05
Red Dawn,32,6,Variants,5,2022/05/04
Team Elite,44,4,Gulinga,5,2022/05/04
Embers Rising,105,28,Void,15,2022/05/04
Bounty Hunters,150,2,Das Imperium,10,2022/05/04
Dark Skai,351,0,华夏星海,15,2022/05/04
Red Dawn,29,0,Star Fall,5,2022/05/03
Dumpster Fire,51,52,RESISTENCIA,15,2022/05/03
G.M.U.,124,18,Sith Empire,15,2022/05/03
Wintercomes,161,31,Death Flight,10,2022/05/02
Metal Nova,1,55,Enigma,10,2022/05/02
Blood Brigade,110,13,Tormenta,10,2022/05/02
Astra Ultima,23,93,The BR Project,10,2022/05/01
Imperium XIII,56,21,Void Dominion,5,2022/05/01
Orion,110,92,Space Marine,10,2022/05/01
pirates spatial,133,124,Sons of Liberty,15,2022/05/01
Lexx,34,2,Killer Shadow,10,2022/05/01
Anla'Shok,100,21,Hipernova,15,2022/05/01
Spacecrevards,109,55,Ender,10,2022/05/01
Auscorp,310,17,Farland Ind.,15,2022/05/01
Orion,110,92,Space Marine,10,2022/05/01
Space Donuts,32,10,Hydra,5,2022/05/01
DTC,187,1,Path of Hades,15,2022/04/30
Bastion,29,15,USSR,5,2022/04/30
Nearland Ind,225,97,IX Nernoh,15,2022/04/30
StarControl,175,63,Terranova,10,2022/04/30
Kharon Shipping,92,63,Karanth,5,2022/04/30
Star Fall,103,78,Hinterm Mond,5,2022/04/29
Galactic gods,5,10,Star Fall,5,2022/04/29
Red Dawn,41,3,Tycho Corp,5,2022/04/29
Team Elite,65,14,Polaris,5,2022/04/28
Red Dawn,41,3,Tycho Corp,5,2022/04/27
Spacefleet,17,177,Dark Skai,15,2022/04/27
Lexx,0,5,401(K),5,2022/04/27
Embers Rising,50,16,PACCBET,15,2022/04/27
Anla'Shok,187,20,First Squad,15,2022/04/26
Ark Summit,165,22,WFOS,15,2022/04/26
Lexx,56,0,世外桃源,10,2022/04/26
Metal Nova,42,0,UNSC,10,2022/04/26
Wintercomes,20,5,casual,10,2022/04/25
Hinterm Mond,76,73,OntarioDynasty,5,2022/04/25
Orion,146,28,Bounty Hunters,10,2022/04/24
Bastion,365,17,West Worlders,10,2022/04/24
Spacecrevards,69,31,DadCorp,5,2022/04/24
Diplomats Union,171,126,Sith Empire,10,2022/04/24
pirates spatial,93,28,Solysis,5,2022/04/24
Red Dawn,66,7,Jaggernaut,5,2022/04/24
Imperium XIII,137,50,Polish Pirates,10,2022/04/23
Black Mirror Co,91,26,Sons of Liberty,10,2022/04/23
DTC,410,0,Madison Holding,15,2022/04/23
Team Elite,57,13,Nюбители пива,5,2022/04/23
$TAR$,159,38,USA,15,2022/04/23
AlfaOmega,49,48,pirates spatial,5,2022/04/23
Kharon Shipping,226,67,Ender,10,2022/04/23
Auscorp,58,52,StarControl,5,2022/04/23
Nearland Ind,123,73,Providence,15,2022/04/23
StarControl,432,0,Legion,10,2022/04/23
Weyland Corp,66,29,Galactic Otters,10,2022/04/22
Void Consortium,308,78,Society of Sin,15,2022/04/22
Grunthal Gang,94,106,RUS,15,2022/04/22
Red Dawn,66,7,Jaggernaut,5,2022/04/21
Anla'Shok,168,13,Highland Ind.,15,2022/04/21
Lexx,46,7,Seila,10,2022/04/21
Metal Nova,76,7,Corporation,10,2022/04/21
Ark Summit,49,20,Rogue Corp,10,2022/04/20
