team1,score1,score2,team2,players,date
Anla'Shok,180,0,Starsailors,15,2021/09/18
Terranova,25,140,Salamanders,10,2021/09/18
Unimatrix Zero,246,16,Topговая Федерация,5,2021/09/18
$TAR$,107,0,第一序列,15,2021/09/18
Auscorp,89,138,BlackStar Order,15,2021/09/18
UKR Spase,33,7,42 Nova Corps.,5,2021/09/18
Kharon Shipping,373,10,EZCO,10,2021/09/18
Yishun CC,36,27,Ender,10,2021/09/17
Aus Alliance,83,16,EGO,10,2021/09/16
Team Elite,52,29,First Squad,5,2021/09/16
Red Coat Mafia,116,1,Dauntless,15,2021/09/16
Dark Skai,244,0,KARI,15,2021/09/16
EradicatorElite,15,5,bob,5,2021/09/15
EradicatorElite,151,17,GDZ,10,2021/09/15
Embers Rising,95,21,Bcenehckne 40%,15,2021/09/15
EMP,101,14,Final,15,2021/09/14
Anla'Shok,64,0,Polaris,15,2021/09/13
Sith Empire,244,30,Españoles,15,2021/09/13
Elite,57,39,Majapahit,10,2021/09/13
Imperium XIII,63,15,Ten Forward,5,2021/09/12
Canadian Army,194,10,Crazy Elite,15,2021/09/12
StarControl,23,80,Star Fall,5,2021/09/12
Spacecrevards,134,123,Terranova,10,2021/09/12
COЮЗ,4,164,ГОРИЗОНТ,10,2021/09/12
HORNET,15,29,Black Solaris,5,2021/09/12
Tacitus,222,28,The Force,15,2021/09/12
RUS,29,37,Hinterm Mond,10,2021/09/12
StarControl,35,29,Hinterm Mond,5,2021/09/12
Bastion,73,146,BRhue,10,2021/09/11
Legion,206,35,DadCorp,10,2021/09/11
Weyland Corp,7,85,DUNE,10,2021/09/11
$TAR$,106,12,CCCP,15,2021/09/11
Team Elite,22,0,M4-Legends,5,2021/09/11
UKR Spase,1,11,DISS LIGA,5,2021/09/11
Kharon Shipping,201,23,Ender,10,2021/09/11
Yishun CC,105,127,Elite Penguins,15,2021/09/10
Spacefleet,105,6,Lacuna Ind.,10,2021/09/09
Anla'Shok,60,0,Prosperity,15,2021/09/08
Elite,52,0,SNSS,10,2021/09/07
OntarioDynasty,95,35,Españoles,15,2021/09/06
DUNE,11,55,Stalkers' Zone,5,2021/09/05
Weyland Corp,116,14,Crazy Elite,10,2021/09/05
Unimatrix Zero,111,64,The Star League,10,2021/09/05
Star Fall,59,29,Terranova,5,2021/09/05
Bastion,52,48,StarControl,5,2021/09/05
Hamburg AG 2,47,46,Hydra,10,2021/09/05
Helion Prime,28,64,Black Sun,10,2021/09/05
StarControl,119,35,DadCorp,10,2021/09/05
Blood Brigade,87,97,LossFarm No. 648,10,2021/09/05
Orion,81,9,Starsailors,15,2021/09/05
OntarioDynasty,64,44,Dauntless,15,2021/09/05
TPYNRNR,105,22,Black Sun,15,2021/09/05
Ten Forward,25,104,CCCP,15,2021/09/05
Canadian Army,120,82,Hipernova,15,2021/09/05
KARI,204,4,TGY Inc.,15,2021/09/05
Red Coat Mafia,159,103,Kpanhnn Kocmoc,15,2021/09/05
Team Elite,30,24,Avantgarde,5,2021/09/05
Final,40,79,Hinterm Mond,15,2021/09/05
BR Gear,177,0,KARI,15,2021/09/05
Imperium XIII,31,24,Topговая Федерация,5,2021/09/04
Auscorp,140,25,Elite Penguins,15,2021/09/04
ГОРИЗОНТ,59,22,Ender,10,2021/09/04
$TAR$,112,60,The BR Project,15,2021/09/04
Tacitus,196,24,COЮЗ,15,2021/09/04
EradicatorElite,43,18,Wintercomes,10,2021/09/03
Dark Skai,24,29,Prosperity,15,2021/09/03
Anla'Shok,162,0,星舰地球,15,2021/09/02
Embers Rising,112,10,Spacefleet,10,2021/09/02
Ark Summit,122,97,Prosperity,15,2021/08/30
Canadian Army,187,8,G.M.U.,15,2021/08/30
Rocket-by Baby,146,17,RussianRangers,15,2021/08/30
Hinterm Mond,540,16,Urban Legends,15,2021/08/30
Bastion,13,61,Crazy Elite,5,2021/08/30
StarControl,60,17,Hinterm Mond,5,2021/08/30
OntarioDynasty,26,113,BlackStar Order,10,2021/08/29
Terranova,16,75,DUNE,10,2021/08/29
Legion,295,7,Final,15,2021/08/29
ГОРИЗОНТ,220,39,Sith Empire,15,2021/08/29
Ender,61,41,Hades Corpo,10,2021/08/28
Anla'Shok,77,15,Foreshadowing,15,2021/08/28
Auscorp,108,46,United Galaxies,15,2021/08/28
DUNE,7,31,DegobaSystem,5,2021/08/28
UKR Spase,44,16,Peaky Blinders,10,2021/08/28
$TAR$,155,65,Nearland Ind,15,2021/08/28
Team Elite,50,27,Topговая Федерация,5,2021/08/28
DUNE,14,5,Topговая Федерация,5,2021/08/27
Unimatrix Zero,51,163,Karanth,5,2021/08/27
Weyland Corp,46,43,Gummibarenbande,10,2021/08/27
EradicatorElite,110,5,Hun Generals,10,2021/08/27
Imperium XIII,6,30,Int. Trading Co,5,2021/08/26
Dark Skai,137,0,WFOS,15,2021/08/25
PocKocMoc,30,6,Imperium XIII,10,2021/08/25
Canadian Army,32,55,Anla'Shok,15,2021/08/24
Gamekings,66,35,Spacefleet,15,2021/08/24
Ark Summit,148,30,EMP,15,2021/08/23
StarControl,102,79,OntarioDynasty,10,2021/08/23
Elite,100,5,The X-Files,10,2021/08/23
Ender,175,75,The Star League,10,2021/08/22
Auscorp,95,49,Evil Empire,15,2021/08/22
Terranova,27,38,Unimatrix Zero,5,2021/08/22
Hinterm Mond,171,28,DadCorp,15,2021/08/22
Rocket-by Baby,37,213,The Force,15,2021/08/22
Black Sun,91,15,Trade Station,15,2021/08/22
Kharon Shipping,264,8,VoidCorp,10,2021/08/21
$TAR$,158,0,Aepxaba Pycb,15,2021/08/21
Imperium XIII,29,161,Grunthal Gang,10,2021/08/21
Yishun CC,12,53,Int. Trading Co,5,2021/08/21
The First Order,82,0,Imperium XIII,10,2021/08/20
KLM,2,50,龙门训练营,15,2021/08/18
Prosperity,128,30,지고 받자,15,2021/08/18
Internationals,154,12,Covenant,15,2021/08/18
Space Balls,83,2,GermanSpaceUno.,10,2021/08/18
Ahamkara,76,12,Swiss Chillers,10,2021/08/18
Internationals,3,123,Aggronauten,10,2021/08/18
The Fracture,79,57,Dreckiger Rest,10,2021/08/18
Dark Skai,118,48,星舰地球,15,2021/08/18
Anla'Shok,78,44,星舰地球,15,2021/08/17
Elite,48,10,Weyland Corp,10,2021/08/17
OntarioDynasty,236,31,The Star League,10,2021/08/16
Canadian Army,197,5,Lacuna Ind.,15,2021/08/16
StarControl,27,56,nebulous,5,2021/08/16
StarControl,96,22,42 Nova Corps.,5,2021/08/16
Yishun CC,11,72,GermanIndustrie,10,2021/08/16
Spacefleet,79,0,Path of Hades,15,2021/08/15
EradicatorElite,60,1,Pulsar,5,2021/08/15
Orion,86,11,Free Thinkers 2,10,2021/08/14
Aus Alliance,116,13,Free Thinkers 2,10,2021/08/14
the heavy,79,60,Hydra,10,2021/08/14
COЮЗ,50,177,USSR,10,2021/08/14
BR Gear,0,32,Rocket-by Baby,15,2021/08/14
Furyan Corps.,36,1,BRhue,15,2021/08/14
Omega Alpha,127,61,No Orbit,15,2021/08/14
KARI,233,0,COЮЗ,15,2021/08/14
$TAR$,101,10,CCCP,15,2021/08/14
Black Sun,25,84,EGO,15,2021/08/14
Kharon Shipping,296,4,11th Engineers,10,2021/08/14
Imperium XIII,160,32,The Outfit,10,2021/08/14
Topговая Федерация,39,30,ГОРИЗОНТ,5,2021/08/14
Ark Summit,93,26,GDZ,15,2021/08/13
Anla'Shok,113,6,YETI Collective,15,2021/08/12
Dark Skai,177,2,GermanSpaceUno.,15,2021/08/12
Team Elite,54,15,ГОРИЗОНТ,5,2021/08/12
Spacefleet,151,11,第一序列,15,2021/08/10
Ender,87,11,Polaris Corp.,10,2021/08/10
Yishun CC,119,41,Sith Empire,15,2021/08/10
Elite,75,2,White Dwarf,10,2021/08/10
Terranova,64,45,StarControl,5,2021/08/09
Canadian Army,138,1,Peaky Blinders,10,2021/08/09
Team Elite,26,72,StarControl,5,2021/08/09
OntarioDynasty,173,0,Españoles,10,2021/08/09
Bastion,61,107,Hinterm Mond,10,2021/08/09
nebulous,35,289,Kharon Shipping,10,2021/08/09
Anla'Shok,78,10,Octoberpierynm,15,2021/08/08
Rocket-by Baby,123,166,Stargate Corp,15,2021/08/08
Imperium XIII,78,44,EZCO,5,2021/08/08
ГОРИЗОНТ,26,341,Legion,15,2021/08/08
Auscorp,128,56,USA,15,2021/08/08
Weyland Corp,42,26,OntarioDominion,10,2021/08/08
Ark Summit,154,38,VoidCorp,15,2021/08/08
帝国军事学院,48,1,Imperium XIII,15,2021/08/08
DUNE,156,16,Hydra,10,2021/08/07
$TAR$,66,10,JerK,10,2021/08/07
Black Sun,9,37,NOVA,15,2021/08/07
Elite,58,14,EradicatorElite,10,2021/08/05
Yishun CC,383,0,United Galaxies,15,2021/08/05
OntarioDynasty,54,1,GermanIndustrie,5,2021/08/05
Spacefleet,65,28,Covenant,15,2021/08/04
The Black Bulls,11,44,Hinterm Mond,5,2021/08/04
H3LL FLAY3RS,153,14,Prosperity,15,2021/08/04
Dark Skai,69,17,星呢月球,15,2021/08/04
Ender,69,12,The Time Lords,10,2021/08/03
Team Elite,37,27,Polaris,5,2021/08/03
Anla'Shok,82,3,Galactic Otters,15,2021/08/02
Rocket-by Baby,52,37,Order of Hades,15,2021/08/01
Terranova,25,17,Salamanders,5,2021/08/01
DUNE,60,0,Astra Ultima,5,2021/08/01
StarControl,55,93,Hinterm Mond,10,2021/08/01
ГОРИЗОНТ,115,45,Furyan Corps.,10,2021/08/01
Bastion,14,112,Star Fall,5,2021/08/01
Unimatrix Zero,110,64,System Shock,15,2021/08/01
Canadian Army,142,2,Imperium XIII,15,2021/08/01
Yishun CC,99,120,Elite Penguins,15,2021/07/31
DadCorp,87,121,HORNET,15,2021/07/31
Weyland Corp,77,11,COЮЗ,10,2021/07/31
$TAR$,109,68,White Star Inc.,15,2021/07/31
Black Sun,70,31,TPYNRNR,15,2021/07/31
Elite,58,2,DarkMoon,10,2021/07/31
EradicatorElite,29,38,Galactic Force,10,2021/07/30
Team Elite,58,13,Gulinga,5,2021/07/29
Ender,143,17,SNSS,10,2021/07/28
Spacefleet,27,22,SNSS,10,2021/07/28
Anla'Shok,66,6,G.M.U.,15,2021/07/28
Dark Skai,133,29,Galaxia,15,2021/07/28
Kharon Shipping,279,1,Galactic Otters,10,2021/07/26
StarControl,104,19,W.O.A,10,2021/07/26
OntarioDynasty,1,62,Hinterm Mond,5,2021/07/26
Elite,111,53,Regulus,10,2021/07/26
Rocket-by Baby,151,74,NERF TOY'S,15,2021/07/25
Yishun CC,196,19,UAGC,15,2021/07/25
UKR Spase,10,11,XenoCorp,5,2021/07/25
Bastion,55,15,Greener Pastures,10,2021/07/25
ГОРИЗОНТ,84,51,Terranova,10,2021/07/25
Weyland Corp,95,40,Speakeasy,10,2021/07/24
Unimatrix Zero,530,0,龙门训练营,15,2021/07/24
Black Sun,138,12,COЮЗ,15,2021/07/24
$TAR$,26,46,USSR,10,2021/07/24
Team Elite,60,2,Anke none,5,2021/07/24
EradicatorElite,153,3,Covenant,10,2021/07/22
Anla'Shok,59,27,Alpha Nation,15,2021/07/22
Ender,225,10,GalaxHitchikers,10,2021/07/21
Dark Skai,184,4,Star Jumpers,15,2021/07/21
Elite,32,4,TheSpacingGuild,10,2021/07/20
Spacefleet,37,110,Widow Makers,10,2021/07/20
Yishun CC,104,51,Watchers,15,2021/07/20
Team Elite,36,5,EZCO,5,2021/07/19
Canadian Army,178,24,Crazy Elite,15,2021/07/19
StarControl,106,68,Hades Corpo,10,2021/07/18
Final,36,2,OntarioDynasty,15,2021/07/18
Rocket-by Baby,200,44,Hipernova,15,2021/07/18
Anla'Shok,48,7,Imperium XIII,15,2021/07/18
Terranova,35,32,Topговая Федерация,5,2021/07/17
Kharon Shipping,299,0,Kyлak,10,2021/07/17
Auscorp,143,41,DadCorp,15,2021/07/17
UKR Spase,44,14,CCCP,10,2021/07/17
$TAR$,74,31,Les Chevaliers,15,2021/07/17
Legion,69,38,Hinterm Mond,5,2021/07/17
Weyland Corp,52,0,SNSS,10,2021/07/17
BlackStar Order,39,89,Unimatrix Zero,15,2021/07/17
ГОРИЗОНТ,101,17,Grunthal Gang,15,2021/07/17
Elite,3,102,Yishun CC,10,2021/07/15
Yishun CC,102,3,Elite,10,2021/07/15
EradicatorElite,206,0,The Outfit,10,2021/07/15
H3LL FLAY3RS,29,20,White Solaris,5,2021/07/15
Ender,85,39,The Time Lords,10,2021/07/14
Team Elite,44,4,E.T.A,5,2021/07/14
Spacefleet,22,24,Ark Summit,10,2021/07/13
Dark Skai,141,2,Anla'Shok,15,2021/07/13
Order of Hades,50,12,Crazy Elite,10,2021/07/12
Hinterm Mond,337,14,Españoles,10,2021/07/12
Hades Corpo,49,20,ГОРИЗОНТ,5,2021/07/12
Canadian Army,113,88,Dropbears Inc,15,2021/07/12
Final,264,30,KLM,15,2021/07/12
BlackStar Order,556,0,Auscorp,15,2021/07/11
Order of Hades,261,10,First Squad,15,2021/07/11
ГОРИЗОНТ,185,19,Hydra,10,2021/07/11
StarControl,19,41,Unimatrix Zero,5,2021/07/11
Yishun CC,179,28,Black Sun,15,2021/07/10
Weyland Corp,36,81,Hades Corpo,10,2021/07/10
Bastion,55,32,Alpha Nation,10,2021/07/10
Legion,344,0,Karanth,5,2021/07/10
UKR Spase,20,38,Hamburg AG 2,5,2021/07/10
Kharon Shipping,200,6,DarkMoon,10,2021/07/10
$TAR$,98,4,帝国军事学院,15,2021/07/10
Team Elite,48,17,Polaris,5,2021/07/09
Terranova,11,19,Elite,10,2021/07/09
DadCorp,101,9,Ender,10,2021/07/08
Imperium XIII,90,31,The Black Bulls,10,2021/07/07
Italian Stars,18,13,Imperium XIII,10,2021/07/07
Hinterm Mond,133,4,GermanIndustrie,5,2021/07/06
OntarioDynasty,182,21,Españoles,10,2021/07/05
Canadian Army,180,65,TSI Inc.,15,2021/07/05
Final,67,69,RUS,15,2021/07/05
Elite,99,22,W.O.A,10,2021/07/04
Order of Hades,34,4,Ritter der Nuss,5,2021/07/04
Yishun CC,61,55,Wintercomes,10,2021/07/04
Auscorp,77,29,TPYNRNR,15,2021/07/04
BlackStar Order,396,0,SYNDICATE,15,2021/07/04
UKR Spase,50,55,Steak n' Shake,10,2021/07/04
$TAR$,81,30,GalaxHitchikers,10,2021/07/04
StarControl,82,34,Bastion,10,2021/07/04
DadCorp,171,36,InfamousExiles,15,2021/07/03
$TAR$,110,146,Star Wars,15,2021/07/03
ГОРИЗОНТ,175,43,Salamanders,15,2021/07/03
Black Sun,79,3,Path of Hades,15,2021/07/03
Team Elite,21,20,Kharon Shipping,5,2021/07/02
Ender,113,26,nebulous,10,2021/07/01
Dark Skai,119,99,Internationals,15,2021/06/30
EradicatorElite,170,2,지고 받자,10,2021/06/30
Spacefleet,138,48,Polaris Corp.,10,2021/06/29
Yishun CC,44,8,Elite,10,2021/06/29
Final,166,22,Sith Empire,15,2021/06/29
OntarioDynasty,28,36,Star Fall,5,2021/06/28
Canadian Army,156,61,GDZ,15,2021/06/28
Tacitus,77,15,第一序列,15,2021/06/27
StarControl,92,21,Farland Ind.,5,2021/06/27
H3LL FLAY3RS,41,31,The Claw,10,2021/06/27
Dark Skai,61,32,BattleCo,15,2021/06/27
BlackStar Order,552,0,TITANS,15,2021/06/27
Team Elite,22,13,DUNE,5,2021/06/27
Hinterm Mond,156,24,ГОРИЗОНТ,5,2021/06/27
ГОРИЗОНТ,57,7,EZCO,5,2021/06/26
Terranova,106,24,Unimatrix Zero,10,2021/06/26
Path of Hades,107,77,Rocket-by Baby,15,2021/06/26
Imperium XIII,134,37,The X-Files,10,2021/06/26
Black Sun,127,21,Trade Station,15,2021/06/26
$TAR$,72,21,JerK,10,2021/06/26
Weyland Corp,16,147,DadCorp,10,2021/06/26
Legion,350,1,UAGC,10,2021/06/26
Auscorp,122,57,HORNET,15,2021/06/25
Yishun CC,142,2,JTPS,15,2021/06/24
Sith Empire,170,26,KARI,15,2021/06/22
Final,328,8,GDZ,15,2021/06/22
Spacecrevards,350,51,Tnxnn Omyt,15,2021/06/22
Urban Legends,61,149,VoidCorp,15,2021/06/22
EMP,31,0,龙门训练营,15,2021/06/22
Furyan Corps.,16,167,COЮЗ,10,2021/06/22
Team Elite,35,18,Heyaepxnmble,5,2021/06/22
Tacitus,109,77,No Orbit,10,2021/06/21
UKR Spase,97,0,PocKocMoc,10,2021/06/21
Hinterm Mond,35,5,Austria,5,2021/06/21
Elite Penguins,214,29,Españoles,15,2021/06/21
Terranova,22,65,Ender,10,2021/06/20
StarControl,92,15,OntarioDynasty,10,2021/06/20
Star Jumpers,74,73,Hipernova,15,2021/06/20
Space Balls,10,211,Rocket-by Baby,15,2021/06/20
Imperium XIII,56,31,Polaris,5,2021/06/20
DUNE,62,45,BRhue,10,2021/06/20
BlackStar Order,260,3,VoidCorp,15,2021/06/20
Avabel Online,7,0,BLOK EKIPA,5,2021/06/20
ГОРИЗОНТ,157,42,United Galaxies,15,2021/06/19
Yishun CC,64,60,The Star League,10,2021/06/19
Weyland Corp,81,50,M4-Legends,10,2021/06/19
Unimatrix Zero,53,78,DadCorp,10,2021/06/19
Kharon Shipping,141,34,Star Fall,5,2021/06/19
Guardians,64,34,Space Donuts,10,2021/06/19
Black Sun,76,30,Gummibarenbande,10,2021/06/19
Black Sun,74,36,Elite,15,2021/06/19
$TAR$,83,4,Fomorians Eire,10,2021/06/19
System Shock,63,0,Watchers,5,2021/06/18
Order of Hades,24,249,AMБPEЛЛA,15,2021/06/18
Karanth,160,48,Void Dominion,5,2021/06/18
EradicatorElite,134,4,Ten Forward,10,2021/06/16
Dark Skai,187,1,BR Gear,15,2021/06/16
OntarioDynasty,195,14,Kyлak,10,2021/06/15
Final,177,39,Elite Penguins,15,2021/06/15
Team Elite,47,32,Hun Generals,5,2021/06/15
Tacitus,98,10,Wintercomes,10,2021/06/14
StarControl,70,117,GermanIndustrie,10,2021/06/14
Spacecrevards,129,17,Bastion,10,2021/06/14
Canadian Army,216,7,Winged Phoenix,15,2021/06/14
Pulsar,33,104,Auscorp,10,2021/06/13
Ender,72,49,Hinterm Mond,10,2021/06/13
ГОРИЗОНТ,79,68,EMP,15,2021/06/13
Legion,216,2,Españoles,10,2021/06/13
Kharon Shipping,121,52,Salamanders,10,2021/06/13
HORNET,117,84,InfamousExiles,15,2021/06/13
DUNE,75,39,Enigma,10,2021/06/13
BlackStar Order,215,58,DadCorp,15,2021/06/13
$TAR$,20,72,battlesquadron,15,2021/06/13
HORNET,49,39,Karanth,5,2021/06/13
Yishun CC,57,51,Black Solaris,10,2021/06/12
Terranova,37,83,M4-Legends,10,2021/06/12
Order of Hades,136,38,Serenity,15,2021/06/12
Black Sun,52,6,The Guardians,10,2021/06/12
Black Sun,175,51,Diplomats Union,15,2021/06/12
Unimatrix Zero,27,38,USSR,10,2021/06/11
EradicatorElite,17,5,Simply Uranus,5,2021/06/10
UKR Spase,31,11,Durham Dragons,10,2021/06/09
Order of Hades,107,80,G.M.U.,15,2021/06/09
H3LL FLAY3RS,64,48,ALIANZA 4,10,2021/06/09
Dark Skai,191,0,KARI,15,2021/06/09
Final,262,20,KLM,15,2021/06/08
Canadian Army,204,128,Rocket-by Baby,15,2021/06/08
EradicatorElite,163,0,Furyan Corps.,10,2021/06/07
Final,262,20,KLM,15,2021/06/07
HORNET,161,43,AMG,5,2021/06/07
HORNET,152,45,Watchers,15,2021/06/07
Sith Empire,3,206,StarControl,10,2021/06/07
Urban Legends,168,94,United Galaxies,15,2021/06/07
Ender,75,17,Kyлak,10,2021/06/07
Path of Hades,3,18,Imperium XIII,15,2021/06/07
Auscorp,148,0,SNSS,15,2021/06/06
Kharon Shipping,349,11,Españoles,10,2021/06/06
Path of Hades,3,18,Imperium XIII,15,2021/06/06
Spacecrevards,32,134,Furyan Corps.,15,2021/06/06
Yishun CC,88,1,Squadron,5,2021/06/06
DadCorp,64,54,Kyлak,10,2021/06/06
OntarioDominion,35,30,Karanth,5,2021/06/06
BlackStar Order,95,144,Legion,15,2021/06/05
DUNE,111,16,Trade Station,10,2021/06/05
ГОРИЗОНТ,57,66,Black Sun,15,2021/06/05
Yishun CC,17,40,Elite,5,2021/06/05
Dark Skai,135,93,Wacky Wabbits,15,2021/06/02
EradicatorElite,202,18,Pulsar,10,2021/06/02
EradicatorElite,28,11,Hun Avengers,5,2021/06/02
Ender,56,7,Galactic Force,10,2021/06/02
UKR Spase,109,23,Rabid Butterfly,10,2021/06/02
Kharon Shipping,308,14,W.O.A,10,2021/06/01
Final,11,9,Españoles,10,2021/06/01
Final,186,1,Españoles,10,2021/06/01
BlackStar Order,238,10,Spacecrevards,10,2021/05/31
BlackStar Order,110,6,Space Donuts,10,2021/05/31
DUNE,32,44,Gwiezdna Horda,5,2021/05/31
Final,11,9,Españoles,10,2021/05/31
Final,186,1,Españoles,10,2021/05/31
Hinterm Mond,117,72,Watchers,15,2021/05/31
Legion,274,27,OntarioDynasty,15,2021/05/31
Spacefleet,37,18,Order of Hades,15,2021/05/31
StarControl,50,20,AltCorp Inc,5,2021/05/31
HORNET,29,57,Yishun CC,15,2021/05/30
Karanth,89,13,NERF,5,2021/05/30
Sith Empire,25,99,UAGC,15,2021/05/30
StarControl,32,91,For Ever HWI,5,2021/05/30
ГОРИЗОНТ,107,2,TPYNRNR,5,2021/05/30
Imperium XIII,22,27,DUNE,5,2021/05/29
Tacitus,179,104,The Picard,15,2021/05/29
Wintercomes,38,16,USSR,10,2021/05/29
DadCorp,35,32,ГОРИЗОНТ,10,2021/05/29
H3LL FLAY3RS,30,29,The Fracture,10,2021/05/28
Unimatrix Zero,54,53,Black Solaris,10,2021/05/28
WFOS,88,3,Imperium XIII,15,2021/05/27
Dark Skai,151,12,Abh,15,2021/05/26
EradicatorElite,93,18,Lacuna Ind.,10,2021/05/26
$TAR$,6,31,海賊ギルド,5,2021/05/26
Hades Corpo,130,28,Gulinga,5,2021/05/25
Yishun CC,113,26,InfamousExiles,15,2021/05/25
Final,30,134,Hinterm Mond,15,2021/05/24
The Star League,39,51,OntarioDynasty,5,2021/05/24
Auscorp,127,5,G.M.U.,10,2021/05/23
BlackStar Order,188,64,OntarioDynasty,15,2021/05/23
BR Gear,34,177,Famous Assassins,15,2021/05/23
BRhue,214,49,Sith Empire,15,2021/05/23
DUNE,102,0,Wintercomes,10,2021/05/23
Paиoн No 9,77,46,Hydra,10,2021/05/23
StarControl,57,48,EMP,10,2021/05/23
Tacitus,87,24,Anomaly,15,2021/05/23
Tacitus,87,24,Anomaly,10,2021/05/23
Urban Legends,29,105,Spacecrevards,10,2021/05/23
Watchers,131,27,The Asylum,10,2021/05/23
지고 받자,72,62,Peaky Blinders,10,2021/05/23
Bastion,54,14,OntarioDominion,10,2021/05/22
HORNET,87,82,Bastion,10,2021/05/22
Imperium XIII,74,31,Ritter der Nuss,10,2021/05/22
Legion,168,0,Watchers,10,2021/05/22
Unimatrix Zero,1,26,LOST PIRATES,5,2021/05/22
Weyland Corp,13,35,Polaris,5,2021/05/22
ГОРИЗОНТ,33,20,Black Sun,15,2021/05/22
NERF,17,17,ГОРИЗОНТ,5,2021/05/22
Kharon Shipping,306,59,Black Solaris,10,2021/05/20
Yishun CC,75,49,Ender,15,2021/05/20
Dark Skai,174,13,Space Balls,15,2021/05/19
EradicatorElite,139,1,Aggronauten,10,2021/05/19
$TAR$,15,105,Turk Yildizlari,5,2021/05/18
DUNE,22,4,Romania,5,2021/05/17
BlackStar Order,501,0,Españoles 2,15,2021/05/17
Space Donuts,17,36,Kyлak,10,2021/05/17
Hades Corpo,225,43,OntarioDynasty,10,2021/05/17
DUNE,70,21,Unimatrix Zero,10,2021/05/16
StarControl,126,39,Watchers,10,2021/05/16
Kyлak,7,157,EMP,10,2021/05/16
Kyлak,36,17,Space Donuts,10,2021/05/16
Urban Legends,85,42,Austria,15,2021/05/16
The Force,5,124,Nearland Ind,15,2021/05/16
COЮЗ,64,98,Crazy Elite,15,2021/05/16
Sith Empire,186,4,Españoles,15,2021/05/16
Avabel Online,24,40,Anarchy,5,2021/05/16
Tormenta,192,104,Rocket-by Baby,15,2021/05/16
Hydra,60,5,COЮЗ,10,2021/05/16
Final,241,23,Terranova,15,2021/05/16
System Shock,75,5,Karanth,5,2021/05/16
Star Fall,32,113,Kharon Shipping,5,2021/05/16
Tacitus,157,3,Любители Пива,15,2021/05/15
Unimatrix Zero,21,70,DUNE,10,2021/05/15
Unimatrix Zero,73,14,DadCorp,10,2021/05/15
Wintercomes,78,66,DarkMoon,15,2021/05/15
Yishun CC,54,30,Salamanders,15,2021/05/15
Yishun CC,34,23,11th Engineers,5,2021/05/15
NOVA,64,10,Ritter der Nuss,10,2021/05/14
Topговая Федерация,54,28,Dragon Eclipse,10,2021/05/14
Greener Pastures,60,27,Trade Station,10,2021/05/14
Black Sun,190,13,Serenity,15,2021/05/14
Black Sun,100,24,GermanSpaceUno.,10,2021/05/14
Ender,123,9,VoidCorp,15,2021/05/14
Bastion,23,28,Karanth,5,2021/05/14
H3LL FLAY3RS,99,14,Legion Imperial,10,2021/05/12
Dark Skai,165,108,Blood Brigade,15,2021/05/12
EradicatorElite,101,2,Hermes,10,2021/05/12
$TAR$,104,2,Topговая Федерация,10,2021/05/11
Auscorp,77,1,Bastion,10,2021/05/10
Sith Empire,174,13,Path of Hades,15,2021/05/10
Hades Corpo,149,25,Steak n' Shake,5,2021/05/10
Hinterm Mond,55,9,Furyan Corps.,10,2021/05/10
Yishun CC,110,39,Trade Station,15,2021/05/10
StarControl,122,51,Bastion,10,2021/05/10
Avabel Online,25,24,Brazilcorp.,5,2021/05/10
Order of Hades,38,64,BR Gear,15,2021/05/09
System Shock,26,11,Unimatrix Zero,5,2021/05/09
DUNE,25,31,Kobol,5,2021/05/09
Final,90,44,Watchers,15,2021/05/09
Rocket-by Baby,29,90,VALLKIRIA,10,2021/05/09
DUNE,93,27,NERF,10,2021/05/09
Widow Makers,102,41,pirates spatial,10,2021/05/09
Kharon Shipping,141,15,Spacecrevards,10,2021/05/09
BRhue,242,6,Pulsar,10,2021/05/09
Bastion,51,122,StarControl,10,2021/05/09
Legion,431,2,Space Donuts,10,2021/05/08
Black Sun,56,30,COЮЗ,10,2021/05/08
Starsailors,47,87,Space Oddity,15,2021/05/08
Hydra,32,118,The Force,15,2021/05/08
Salamanders,146,40,Terranova,15,2021/05/08
OntarioDominion,35,184,KLM,15,2021/05/08
OntarioDynasty,77,100,DadCorp,15,2021/05/08
Imperium XIII,29,24,Wintercomes,10,2021/05/08
Ender,64,53,ГОРИЗОНТ,15,2021/05/08
Tacitus,100,65,CommCody & LPA,10,2021/05/08
HORNET,173,1,First Squad,10,2021/05/07
Free Thinkers 2,28,77,YETI Collective,15,2021/05/07
KARI,6,102,TPYNRNR,15,2021/05/07
G.M.U.,34,79,Black Sun,15,2021/05/07
BlackStar Order,509,0,Space Balls,15,2021/05/07
EradicatorElite,110,22,Winged Phoenix,10,2021/05/06
Yishun CC,334,0,Big Hammer,15,2021/05/05
H3LL FLAY3RS,8,3,RedFoxCorp,5,2021/05/05
Order of Hades,95,32,Urban Legends,15,2021/05/03
StarControl,117,1,Argentina 1.0,5,2021/05/03
DadCorp,131,39,Ender,15,2021/05/02
Legion,368,6,Pulsar,10,2021/05/02
Hinterm Mond,109,86,Spacecrevards,10,2021/05/02
Space Oddity,0,29,Omega Alpha,10,2021/05/02
DUNE,161,2,Hydra,10,2021/05/02
KARI,80,68,Space Donuts,15,2021/05/02
Auscorp,97,27,Rocket-by Baby,15,2021/05/02
Terranova,160,50,Bastion,15,2021/05/02
OntarioDynasty,94,43,Final,15,2021/05/02
Star-Jump CORPS,32,23,pirates spatial,5,2021/05/02
