rank,corporation,rating,delta
~  ,Sektion 31      ,883,0
~  ,Durham Dragons  ,883,0
~  ,Rabid Butterfly ,883,0
~  ,Silver Guard    ,883,0
~  ,Alpha Nation    ,882,0
~  ,RussianRangers  ,881,0
~  ,Corp Du Jour    ,881,0
~  ,Void            ,881,0
 82,IX Nernoh       ,881,-9
 83,Covenant        ,881,37
~  ,OntarioDomicile ,881,0
~  ,401(K)          ,881,0
~  ,群星联合会           ,881,0
~  ,Crazy Monkeys   ,881,-10
 84,Rocinante       ,880,0
~  ,JerK            ,880,0
~  ,Battlestar FR   ,880,0
~  ,Alpha Tauri     ,880,0
~  ,Bo3poxaehne     ,880,0
~  ,United Stars    ,879,-5
~  ,TSI Inc.        ,879,0
~  ,Nюбители пива   ,878,0
~  ,USA Corp        ,878,0
~  ,Peak Extraction ,878,0
~  ,Omega Nation    ,878,0
~  ,RSR Bravo       ,878,0
 85,Cnythnk         ,878,0
~  ,Curcubeu        ,877,0
~  ,Farming Inc.    ,877,0
~  ,alienigenas     ,877,27
~  ,The Force       ,876,0
~  ,Dreckiger Rest  ,876,0
~  ,Axiom           ,875,25
~  ,Alpaca Haven    ,875,0
~  ,SNSS            ,875,0
~  ,Les Chevaliers  ,875,-8
~  ,Любители Пива   ,875,0
~  ,中国家民            ,875,0
~  ,OntarioDistrict ,875,25
~  ,I.N.D.I.G.O     ,875,0
~  ,Bloodtide       ,875,0
~  ,★后?明?星?         ,874,24
~  ,RSI             ,874,0
~  ,Prophecy        ,874,-18
~  ,The X-Files     ,874,0
~  ,Crazy Elite     ,874,0
 86,PocKocMoc       ,873,0
~  ,Special Force   ,873,0
~  ,太空的猫            ,873,0
~  ,Parhapek        ,872,0
 87,MAQUIS          ,871,-4
~  ,Serenity        ,871,-3
~  ,Federation      ,870,-10
~  ,Discordia       ,870,0
~  ,PODER ETERNO    ,870,0
~  ,Free Thinkers 2 ,870,0
~  ,우주미아            ,869,0
~  ,Galactic Otters ,868,0
~  ,Big Hammer      ,868,0
~  ,Winged Phoenix  ,868,0
~  ,ANZAC Warriors  ,868,0
~  ,Star Fox        ,867,0
 88,Galactic Empire ,867,-16
~  ,Bcenehckne 40%  ,867,0
 89,Knights Ronin   ,867,-17
~  ,Dragon Army     ,866,-17
~  ,혁명군             ,865,-15
~  ,UnionofSpace    ,865,15
~  ,FAIR            ,864,0
~  ,Dauntless       ,864,0
~  ,Highland Ind.   ,864,0
