rank,corporation,rating,delta
~  ,Dreckiger Rest    ,901,25
~  ,Green Alliance    ,900,0
~  ,Legion Estelar    ,900,0
~  ,Flight and War    ,900,0
~  ,KOPNOPAUNR 3NA    ,900,0
~  ,Españoles 2       ,900,0
~  ,Hen36exhbln Poko  ,900,30
~  ,W.O.A             ,900,0
 78,Rocket-by Baby    ,899,-28
~  ,The Fracture      ,899,-6
~  ,Squadron          ,899,0
~  ,AltCorp Inc       ,899,-6
~  ,Romania           ,899,0
~  ,Anarchy           ,899,0
~  ,LIETUVA           ,898,0
 79,Serenity          ,898,0
~  ,NuevaFederacion   ,898,0
~  ,Evil Empire       ,898,0
~  ,11th Engineers    ,898,0
~  ,Turk Yildizlari   ,897,-6
~  ,Teeny's WS        ,897,0
~  ,Abanoh            ,897,-6
 80,Rising star       ,897,-19
~  ,Guardia Oscura    ,896,0
~  ,Star Gate         ,896,0
 81,USA Corp          ,896,0
~  ,bob               ,896,0
~  ,Simply Uranus     ,896,0
~  ,Panola Corp.      ,895,0
~  ,Heyaepxnmble      ,895,0
~  ,aranas-vermelha   ,895,0
~  ,Acгapд            ,895,0
~  ,RESISTENCIA       ,895,0
~  ,Foreshadowing     ,895,0
~  ,Created           ,895,0
~  ,Polaris Corp.     ,894,0
~  ,The Promenade     ,894,0
~  ,OntarioDomicile   ,894,0
~  ,Aobpothbie Nioan  ,894,0
~  ,PHOENIX           ,894,0
~  ,The Herd          ,894,0
~  ,Brazilcorp.       ,893,0
~  ,M3K               ,893,0
~  ,BLOK EKIPA        ,893,0
~  ,Russian Corp      ,893,0
~  ,GalaxyGuardians   ,892,0
~  ,Draconis          ,892,0
~  ,Star War School   ,892,0
~  ,OPA               ,892,0
~  ,Soul System       ,892,0
~  ,RedFoxCorp        ,892,0
~  ,space rats        ,892,0
~  ,Hun Avengers      ,891,0
~  ,Sol               ,891,0
~  ,SveaEmpire        ,891,0
~  ,Speakeasy         ,891,0
~  ,Simply Chaos      ,890,0
~  ,UFP               ,890,0
~  ,N7 Elite Forces   ,890,0
~  ,СОЮЗ Akanemnr     ,889,0
~  ,New Utopia        ,889,0
~  ,Zanganos          ,889,0
~  ,ALIANZA 4         ,888,0
~  ,The Claw          ,888,0
~  ,Dark Age          ,888,0
~  ,WFOS              ,888,-12
~  ,White Dwarf       ,888,0
 82,ТРУЛЯЛЯ           ,888,-10
~  ,The Guardians     ,888,0
~  ,Hermes            ,888,0
~  ,R.S.F.            ,887,0
~  ,A Team            ,886,0
~  ,Lights Off        ,886,0
~  ,Dragon Eclipse    ,886,0
 83,BattleCo          ,886,-10
 84,Lost Legion       ,886,-13
 85,Любители Пива     ,886,-14
~  ,Daemon Runners    ,886,-5
~  ,Corvus Ind.       ,885,-32
~  ,Hun Generals      ,885,0
~  ,星䂓地㺷              ,884,0
~  ,The Outfit        ,884,0
~  ,7SinS             ,884,0
~  ,Pulsar            ,884,0
~  ,Legionnaires      ,883,0
~  ,Legion Imperial   ,883,0
~  ,Durham Dragons    ,883,0
~  ,Sektion 31        ,883,0
~  ,Rabid Butterfly   ,883,0
~  ,Silver Guard      ,883,0
 86,Bloodtide         ,883,26
 87,Regulus           ,882,-4
~  ,BR Gear           ,882,-5
~  ,FreeSpcAlliance   ,882,24
~  ,RussianRangers    ,881,0
~  ,401(K)            ,881,0
~  ,群星联合会             ,881,0
~  ,JerK              ,880,0
 88,Void Dominion     ,880,0
~  ,Battlestar FR     ,880,0
~  ,Alpha Tauri       ,880,0
~  ,Bo3poxaehne       ,880,0
 89,The trade pub     ,879,0
~  ,United Stars      ,879,0
~  ,Crazy Monkeys     ,879,0
 90,Das Imperium      ,879,0
~  ,Omega Nation      ,878,0
~  ,RSR Bravo         ,878,0
~  ,alienigenas       ,877,0
~  ,Rocinante         ,876,0
 91,Kpanhnn Kocmoc    ,876,-16
~  ,Axiom             ,875,0
~  ,Les Chevaliers    ,875,0
~  ,中国家民              ,875,0
~  ,White Star Inc.   ,875,0
~  ,I.N.D.I.G.O       ,875,0
 92,OKC Thunder       ,875,0
~  ,★后?明?星?           ,874,0
~  ,RSI               ,874,0
~  ,IX Легион         ,874,0
 93,TROLL SQUAD       ,874,-23
~  ,Crux Cadre        ,874,0
~  ,太空的猫              ,873,0
 94,Nюбители пива     ,872,0
~  ,42 Nova Corps.    ,872,-17
~  ,Industrial W.O    ,872,0
~  ,Parhapek          ,872,0
~  ,Corp Du Jour      ,871,0
 95,Little RasCats    ,870,0
~  ,PocKocMoc         ,870,0
~  ,Federation        ,870,0
~  ,PODER ETERNO      ,870,0
~  ,Discordia         ,870,0
~  ,Cnythnk           ,869,0
~  ,Anomaly           ,869,0
~  ,Big Hammer        ,868,0
~  ,Winged Phoenix    ,868,0
 96,NERF TOY'S        ,868,0
 97,Curcubeu          ,867,-4
~  ,Star Fox          ,867,0
~  ,Rusty legacy      ,867,-11
~  ,星舰地球              ,867,0
~  ,Dragon Army       ,866,0
 98,Polish Pirates    ,866,-37
~  ,Helion Prime      ,866,0
~  ,Special Force     ,866,0
~  ,UnionofSpace      ,865,0
 99,蓝色星系              ,864,0
100,Prophecy          ,863,-5
~  ,Alpha Nation      ,863,0
~  ,ROGUE ONE         ,863,0
101,Diplomats Union   ,862,0
102,The X - Files     ,862,-6
~  ,The Force         ,862,0
~  ,第一序列              ,861,0
~  ,SNSS              ,861,0
~  ,Peaky Blinders    ,861,0
~  ,OntarioDistrict   ,861,0
103,On en a Gros !    ,861,0
104,Free Thinkers 2   ,860,-11
~  ,SALTARDIS         ,860,0
~  ,UNSC              ,860,0
~  ,Abh               ,860,0
~  ,CommCody & LPA    ,860,0
~  ,West Worlders     ,860,0
~  ,Knights Ronin     ,859,0
~  ,Highland Ind.     ,859,0
~  ,2nd Squad         ,859,0
~  ,Seila             ,859,0
~  ,深空补给港             ,859,0
~  ,Gummibärenbande   ,859,0
~  ,Space Pirate      ,858,0
~  ,CTG               ,858,0
~  ,혁명군               ,858,0
~  ,lucky cats        ,856,0
105,USA               ,856,27
~  ,FAIR              ,856,0
~  ,Sprite            ,855,0
~  ,Tycho Corp        ,855,0
~  ,星舰太空港             ,854,0
~  ,Minutemen         ,854,-4
106,Star Destroyers   ,853,-15
~  ,Newbs             ,853,0
~  ,PACCBET           ,852,0
~  ,Space Balls       ,852,0
107,Dumpster Fire     ,852,0
~  ,debutant fr       ,851,0
~  ,Ykp ihtpobeptn    ,851,0
108,Providence        ,851,-18
109,We R Bad          ,851,-9
110,Farming Inc.      ,851,-9
~  ,Nebula            ,850,0
~  ,Wispered Storm    ,850,0
111,Starsailors       ,848,0
~  ,YAL               ,848,0
112,Hawa Bcenehhar    ,848,-10
113,ANZAC Warriors    ,848,0
~  ,Glashan           ,848,0
~  ,C'est pas faux!   ,847,0
~  ,CCCP 2.0          ,845,0
~  ,지고 받자             ,845,0
~  ,la 315eme         ,845,0
~  ,Stella Glow       ,845,0
~  ,Les Tilotest      ,844,0
~  ,BRASIL STAR       ,844,0
~  ,СОЮЗ              ,844,0
~  ,Swiss Chillers    ,843,0
~  ,Hydra             ,842,0
114,Hipernova         ,842,-15
~  ,RATAS             ,842,0
~  ,ITA               ,842,0
~  ,brit boys         ,841,0
~  ,TGY Inc.          ,841,0
~  ,华夏星海              ,841,0
~  ,Star Jumpers      ,840,0
~  ,Killer Shadow     ,840,-14
~  ,無盡 宿命             ,840,0
~  ,地球朕合              ,840,0
~  ,听风秋月              ,840,0
~  ,Stellaris         ,840,0
~  ,111               ,840,0
~  ,Shadow Lords      ,840,0
~  ,銀河戦狼              ,840,0
~  ,Spectre           ,840,0
~  ,Lacuna Holdings   ,840,0
~  ,Corp. Estelar 2   ,840,0
~  ,The Gathering     ,840,0
~  ,Three Rivers      ,840,0
~  ,꿀벌 왕국             ,840,0
~  ,Duchy Arrakis     ,840,0
~  ,Avabel Online 2   ,840,0
~  ,THE FOUNDATION    ,840,0
~  ,Yephoe conhue     ,840,0
~  ,CCCP              ,840,0
~  ,First Squad       ,839,0
~  ,Jaggernaut        ,839,0
~  ,水星联合织             ,839,0
115,YETI Collective   ,839,-10
116,仙女座星雲             ,837,-11
117,Peak Extraction   ,837,0
~  ,Sons of Liberty   ,836,0
~  ,Rocket-Babies     ,836,0
~  ,GermanSpaceUno.   ,835,0
~  ,Space Anomalies   ,834,11
118,Gallaecia         ,833,0
~  ,No Orbit          ,833,0
119,Lacuna Ind.       ,832,-28
~  ,AHДPOMEДA         ,832,0
~  ,The Seperatists   ,832,-8
120,Crazy Elite       ,832,-16
121,GDZ               ,832,6
~  ,Variants          ,831,0
~  ,Rushar            ,831,0
122,Eastern Front     ,830,0
~  ,Proteus Tech      ,830,-10
~  ,"Project ""Gamma""   ",830,0
123,INFINITY STAR     ,829,-55
124,Covenant          ,828,-25
~  ,Aepxaba Pycb      ,826,0
~  ,djjdj             ,826,0
~  ,CbrtbleHeroAhnkn  ,826,0
~  ,italian warrior   ,825,0
~  ,Freelancer        ,824, -
~  ,Astra Ultima      ,824, -
~  ,GalacticTraders   ,823, -
~  ,Oмикрон Альфа     ,823, -
~  ,コーポレーション          ,823, -
~  ,Kopnopaunr Mno    ,823, -
~  ,(_(_Vossk_)_)     ,823, -
125,MAQUIS            ,822,-27
126,Ten Forward       ,820,-9
~  ,Rogue Corp        ,818, -
~  ,SonsOvAnarchy     ,817, -
~  ,星环星际朕盟            ,817, -
~  ,OAKB              ,817, -
~  ,CSI               ,816, -
